Year,Month,Day,Hour,DateTime,DBT,RelHum,WSp,Precipitation,Elev,utcivar1,utcivar2,utcivar3,count,Dockability,Releasability,specialdate
2017.0,1.0,1.0,0.0,1/1/2000 0:00,3.9,89.0,6.2,0.0,0.0,-8.483754,-12.968296,-12.968296,0.0,,,1
2017.0,1.0,1.0,1.0,1/1/2000 1:00,3.9,89.0,6.2,0.0,0.0,-8.483754,-12.968296,-12.968296,0.0,,,1
2017.0,1.0,1.0,2.0,1/1/2000 2:00,2.8,92.0,6.2,0.0,0.0,-10.088523,-14.588400999999998,-14.588400999999998,0.0,,,1
2017.0,1.0,1.0,3.0,1/1/2000 3:00,2.8,92.0,7.2,0.0,0.0,-12.381234,-16.789367999999996,-16.789367999999996,0.0,,,1
2017.0,1.0,1.0,4.0,1/1/2000 4:00,2.8,92.0,7.7,0.0,0.0,-13.423521,-17.79134500000001,-17.79134500000001,0.0,,,1
2017.0,1.0,1.0,5.0,1/1/2000 5:00,2.8,89.0,6.2,0.0,0.0,-10.122772,-14.651433,-14.651433,0.0,,,1
2017.0,1.0,1.0,6.0,1/1/2000 6:00,2.2,89.0,6.2,0.0,0.0,-11.017566,-15.564175999999998,-15.564175999999998,0.0,,,1
2017.0,1.0,1.0,7.0,1/1/2000 7:00,2.2,89.0,6.2,0.0,6.3616480000000015,-10.861377,-15.398864285714286,-15.398864285714286,0.0,,,1
2017.0,1.0,1.0,8.0,1/1/2000 8:00,4.4,70.0,6.7,0.0,14.151260999999998,-7.8222070000000015,-12.561759904761903,-12.561759904761903,0.0,,,1
2017.0,1.0,1.0,9.0,1/1/2000 9:00,5.6,58.0,8.8,0.0,20.157979,-8.801354,-13.481168857142858,-13.481168857142858,0.0,,,1
2017.0,1.0,1.0,10.0,1/1/2000 10:00,5.6,58.0,8.8,0.0,23.806464,-7.9994770000000015,-12.573466492063494,-12.573466492063494,0.0,,,1
2017.0,1.0,1.0,11.0,1/1/2000 11:00,5.6,49.0,10.3,0.0,24.674221,-10.367145,-14.906873396825395,-14.906873396825395,0.0,,,1
2017.0,1.0,1.0,12.0,1/1/2000 12:00,6.1,43.0,9.8,0.0,22.648783,-8.88413,-13.409877761904767,-13.409877761904767,1.0,,,1
2017.0,1.0,1.0,13.0,1/1/2000 13:00,6.1,43.0,9.8,0.0,17.985049,-9.487786,-13.895063714285712,-13.895063714285712,0.0,,,1
2017.0,1.0,1.0,14.0,1/1/2000 14:00,6.1,41.0,9.3,0.0,11.183241,-9.710756,-14.113959555555553,-14.113959555555553,0.0,,,1
2017.0,1.0,1.0,15.0,1/1/2000 15:00,5.6,40.0,5.1,0.0,2.894666,-3.122425,-8.155050873015874,-8.155050873015874,1.0,,,1
2017.0,1.0,1.0,16.0,1/1/2000 16:00,5.6,40.0,5.1,0.0,0.0,-3.826396,-9.084004476190476,-9.084004476190476,0.0,,,1
2017.0,1.0,1.0,17.0,1/1/2000 17:00,5.0,42.0,4.1,0.0,0.0,-1.89928,-7.4197630000000006,-7.4197630000000006,0.0,,,1
2017.0,1.0,1.0,18.0,1/1/2000 18:00,3.3,47.0,3.6,0.0,0.0,-2.479585,-7.957140999999997,-7.957140999999997,0.0,,,1
2017.0,1.0,1.0,19.0,1/1/2000 19:00,3.3,47.0,3.6,0.0,0.0,-2.479585,-7.957140999999997,-7.957140999999997,0.0,,,1
2017.0,1.0,1.0,20.0,1/1/2000 20:00,2.8,49.0,3.6,0.0,0.0,-3.085434,-8.539307,-8.539307,0.0,,,1
2017.0,1.0,1.0,21.0,1/1/2000 21:00,1.7,55.0,3.6,0.0,0.0,-4.401344,-9.777509000000002,-9.777509000000002,0.0,,,1
2017.0,1.0,1.0,22.0,1/1/2000 22:00,1.7,55.0,3.6,0.0,0.0,-4.401344,-9.777509000000002,-9.777509000000002,0.0,,,1
2017.0,1.0,1.0,23.0,1/1/2000 23:00,0.6,63.0,3.1,0.0,0.0,-3.883154,-9.261194000000009,-9.261194000000009,0.0,,,1
2017.0,1.0,2.0,0.0,1/2/2000 0:00,0.6,63.0,3.1,0.0,0.0,-3.883154,-9.261194000000009,-9.261194000000009,0.0,,,0
2017.0,1.0,2.0,1.0,1/2/2000 1:00,0.6,63.0,3.1,0.0,0.0,-3.883154,-9.261194000000009,-9.261194000000009,0.0,,,0
2017.0,1.0,2.0,2.0,1/2/2000 2:00,-1.1,72.0,0.0,0.0,0.0,4.994741,-2.2563969999999998,-2.2563969999999998,0.0,,,0
2017.0,1.0,2.0,3.0,1/2/2000 3:00,-1.7,76.0,0.0,0.0,0.0,4.425441,-2.8206329999999986,-2.8206329999999986,0.0,,,0
2017.0,1.0,2.0,4.0,1/2/2000 4:00,-1.7,76.0,0.0,0.0,0.0,4.425441,-2.8206329999999986,-2.8206329999999986,0.0,,,0
2017.0,1.0,2.0,5.0,1/2/2000 5:00,-0.6,76.0,0.0,0.0,0.0,5.511853,-1.616716999999999,-1.616716999999999,0.0,,,0
2017.0,1.0,2.0,6.0,1/2/2000 6:00,-1.7,80.0,1.5,1.8,0.0,-0.35776,-5.931517999999998,-5.931517999999998,0.0,,,0
2017.0,1.0,2.0,7.0,1/2/2000 7:00,-1.7,80.0,1.5,0.0,6.365257,-0.216862,-5.777940999999998,-5.777940999999998,0.0,,,0
